Rank,Name,Price
1,Shop on eBay,$20.00
2,"Dell Latitude 15.6"" Laptop Intel Core i5 64GB RAM 2TB SSD Wi-Fi Windows 11 Pro",$324.99to$592.00
3,"Dell Latitude 14"" Gaming Laptop PC Intel Core i7 4.2GHz 64GB RAM 2TB SSD Win 11",$399.99to$634.99
4,"Dell Latitude 15.6"" Laptop Intel Core i5 64GB RAM 2TB SSD Wi-Fi Windows 10 Pro",$324.99to$553.99
5,"Dell Latitude 12.5"" Gaming Laptop Intel Core i7 4.20GHz 32GB RAM 2TB SSD Win 11",$299.99to$483.00
6,"Dell Latitude  3420 14""Intel Corei5-1135G7. 2.40 GHz,256gb ssd,16gb ram",$125.00
7,"DELL 2-in-1 Laptop Intel i7 8th Gen 16GB 256GB SSD WEBCAM 13.3"" TOUCH Win11 Pro",$245.00
8,"Lenovo ThinkPad Yoga 11e 11.6"" 2in1 Touch Intel Core i3 4GB RAM 128GB SSD Win10",$50.00
9,"Dell Latitude E7470 14"", 1tb, Intel Core i7-6600U 32GB RAM Laptop-Touch Win11Pro",$329.98
10,Lenovo 300e Chromebook 2nd Gen 2-in-1 Touch N4020 4GB 32gb SSD  *SEE PHOTOS*,$24.00
11,"HP EliteBook 840 G3 Laptop Intel i5 6200U 2.30GHZ 14"" FHD 8GB 128GB Win10P + AC",$115.95
12,"Dell Vostro 15 5501 Laptop - i5 8GB RAM 256GB SSD 15.6"" FHD Windows 11 B*",$76.00
13,"Lenovo IdeaPad Slim 5 16"" WUXGA Notebook Intel Core i7-1355U 16GB RAM 1TB SSD",$599.99
14,New ListingDynaBook Satellite Pro C40-K 256GB 8GB 12th Gen Intel i3-1215U 1.20Ghz Win11 Pro,$149.95
15,Dell Latitude 7400 Gaming Laptop PC Intel Core i7 4.2GHz 64GB RAM 2TB SSD Win 11,$392.99to$613.80
16,"Dell Gaming Laptop 15.6"" 64GB RAM 2TB SSD Intel Core i5 3.60GHz Windows 11 Pro",$357.99to$586.00
17,HP laptop Chromebook 11 G5 N3060 1.60GHz 4GB 16GB SSD 11.6 WEBCAM BLUETOOTH WIFI,$46.99
18,New ListingDell Latitude 7400 14” i5-8365U 1.60GHz 16GB 256GB,$122.00
19,"🔥NEW Asus Vivobook 15.6"" TouchScreen Laptop Intel i7-1255U 16GB RAM 512GB SSD",$498.95
20,"Lenovo Yoga 11e Chromebook 11.6"" N3160 4GB 16GB SSD Touchscreen *SEE PHOTOS*",$33.00
21,"HP X360 11 G1 Touchscreen 2-in-1 Laptop 11.6"" Celeron 4GB 128GB SSD Windows 10",$111.99
22,"HP ProBook MT21 Mobile Thin Client 14"" HD Celeron 3867U 1.8GHz 8GB 128GB SSD",$64.95
23,"DELL LAPTOP INTEL 7th Gen 2.80GHz 16GB 256GB SSD WIN10 Pro 15.6"" SCREEN",$149.00
24,Acer Aspire 3 15.6  Notebook FHD Display AMD Ryzen 7 5700U 16GB RAM 512GB SSD,$399.99
25,"Lenovo 2-in-1 Touchscreen Laptop/Tablet PC 11.6"" Windows 11 8GB RAM 128GB SSD",$120.82
26,"New ListingASUS ROG Flow Z13 13.4 in (1TB SSD, Intel Core i9 12th Gen. 5GHz, 16GB RAM)...",$661.00
27,"Lenovo ThinkPad Yoga 11e Laptop 11.6"" Touch  2in1 4gb, 128gb SSD   *SEE PHOTOS*",$48.00
28,"Lenovo LOQ 15.6"" Gaming Laptop FHD 144Hz i7-13700H 16GB RAM 1TB SSD RTX 4060 8GB",$949.99
29,"New ListingLenovo Thinkpad T450s i5-5200U 2.2GHz, 8GB RAM, SSD 120GB WIN10Pro",$65.00
30,UPGRADED Dell Latitude 7240 Business Windows 10 Laptop 16GB RAM | 256GB SSD,$179.00
31,"HP 650 G5 15.6"" Laptop PC Computer Intel Core i5 16GB RAM 256GB SSD Windows 11",$219.99
32,"14"" 15.6"" 12th Gen Intel Core i7-1260P i9-10850 MX450 Laptop Notebook 32GB 2TB",$199.00to$659.00
33,New ListingHP 250 G7 Laptop - i5-8265U - 4GB RAM - 128GB SSD - WIN 10 PRO - NO HDD CADDIE,$59.99
34,"Lenovo N23 Yoga Touchscreen Chromebook 11.6"" 4GB 32gb SSD  *SEE PHOTOS/DESCRIP.*",$22.00
35,"New ListingLenovo ThinkPad P73 17.3"" (2, 2TB SSD, Intel Core i9-9880H, 2.3GHz, 128GB RAM...",$640.00
36,Fujitsu Stylistic Tablet Q736 Core I7 128Gb With Charger 8GB RAM Windows 10 Pro,$45.00
37,Toshiba Tecra X40 Gaming Laptop - HD 1080P Touch Win 11 PRO i5-7300U 2.6ghz 8gb,$125.99
38,"HP 15.6"" FHD Notebook AMD Ryzen 5 5500U 16GB RAM 512GB SSD Natural Silver",$354.99
39,Acer Chromebook Spin 11 2-in-1 Laptop Touchscreen Laptop 4GB 32GB SSD,$65.00
40,"Acer C738T Chromebook 2-in-1 Touch 360 Hinge 11.6"" Intel 1.6GHz 4GB 16GB SSD",$58.99
41,HP laptop Chromebook 11 1.60GHz 4GB 16GB SSD 11.6 WEBCAM BLUETOOTH WIFI free BAG,$39.99
42,Dell Latitude 5290 2-in-1 Intel Core i7-8650U 1.90GHz 16GB RAM 512GB SSD No OS,$130.50
43,"HP mini 1104 10.1"" Intel Atom N2600 @ 1.60GHz 2GB RAM 300GB HDD 1024X600 *QTY",$29.99
44,"2024 HP Laptop Notebook 15.6"" FHD AMD Ryzen 5 7520U 16GB RAM 1TB SSD Win 11 Pro",$489.00
45,Dell Latitude 3189 Windows 11  Laptop 2-in-1 tablet 128GB SSD - 4GB 11.6 Touch,$94.89
46,"Dell Latitude E5420 14"" Laptop Intel Core i3 4GB 320GB HDD Windows 7",$79.95
47,"Lenovo Ideapad 1i 15.6"" FHD Notebook Intel Core i5-1235U 8GB RAM 256GB SSD",$359.99
48,Lenovo X1 Yoga BOOTS Intel Core i5-6300U 2.40GHz 8GB RAM NO HDD/OS BIOS LCK,$17.50
49,"HP PROBOOK 445 (G7) 14"" FHD AMD RYZEN 5 4500U 512GB SSD 16GB RAM AMD GPU NO O.S",$229.00
50,"New ListingDell Latitude 5410 Laptop,i7-10610U 10TH Gen,16GB Ram,512GB SSD,14” FHD!",$290.00
51,"Lenovo LOQ 15.6"" FHD 144Hz Gaming Laptop i5-12450H 8GB RAM 512GB SSD RTX 3050",$579.99
52,HP PROBOOK 650 G4 15.6 IN INTEL CORE I5 7TH 16GB RAM 512GB NVME CAM WIN10 P,$160.00
53,Microsoft Surface Pro 5 Core i7-7660U @2.5GHz 16GB RAM 512GB SSD Windows 10 Pro,$103.50
54,"HP ProBook 11 G2 (11.6"" Touchscreen, Intel i3 6100U, 8GB, 128GB SSD, Windows 10)",$84.95
55,2024 Dell Inspiron 15 Laptop FHD Touch Intel i5 Upto 32GB RAM&1TB SSD Win 11 Pro,$449.00to$649.00
56,"Lenovo Yoga 11e Touchscreen Laptop Tablet Windows 10 11.6"" Celeron 8GB 128GB SSD",$88.00
57,HP Elitebook 850 G6 Intel i5-8365U 1.60GHz 16GB RAM No HDD No OS,$149.99
58,"Lenovo IdeaPad 5 Pro 14'' Touch,Intel i5-1240P, 1TB SSD , 16GB RAM,Win11",$278.00
59,HP laptop Chromebook 11 G5 N3060 1.60GHz 4GB 16GB SSD 11.6 CHOOSE YOUR COLOR,$46.99to$60.59
60,"Lenovo 15.6"" Full-HD TOUCH Laptop Intel Core i7-1065G 3.90GHz 12GB Ram 512GB SSD",$414.35
61,Dell Latitude Light Gaming Business Laptop - Intel Core i7 16GB RAM 512GB SSD,$425.00
